symbol,recon_date,entry_date,entry_price,exit_date,exit_price,exit_type,hold_days,gross_return,toxic_type,conditions_met,exit_struct,label,net_optimistic,net_base,net_conservative,net_stress,net_base_fund_low,net_base_fund_base,net_base_fund_high,net_base_fund_extreme
ZEREBRO-USD,2025-01-31,2025-02-01,0.09182000160217285,2025-02-02,0.07804700136184692,TP,1,0.15000000000000005,strict,4,S1,primary,0.14883561643835622,0.14683561643835621,0.1438356164383562,0.1378356164383562,0.14691780821917813,0.14683561643835621,0.14672602739726032,0.1464520547945206
BOME-USD,2025-01-31,2025-02-01,0.0033009999897331,2025-02-02,0.0028058499912731348,TP,1,0.15000000000000005,strict,4,S1,primary,0.14883561643835622,0.14683561643835621,0.1438356164383562,0.1378356164383562,0.14691780821917813,0.14683561643835621,0.14672602739726032,0.1464520547945206
CHILLGUY-USD,2025-01-31,2025-02-01,0.056464001536369324,2025-02-02,0.047994401305913925,TP,1,0.15,strict,4,S1,primary,0.14883561643835616,0.14683561643835616,0.14383561643835616,0.13783561643835615,0.14691780821917808,0.14683561643835616,0.14672602739726026,0.14645205479452053
PNUT-USD,2025-01-31,2025-02-01,0.25144198536872864,2025-02-02,0.21372568756341934,TP,1,0.15000000000000002,strict,4,S1,primary,0.1488356164383562,0.1468356164383562,0.14383561643835618,0.13783561643835618,0.1469178082191781,0.1468356164383562,0.1467260273972603,0.14645205479452056
GOAT-USD,2025-01-31,2025-02-01,42.15956497192383,2025-02-02,35.83563022613525,TP,1,0.15000000000000008,strict,4,S1,primary,0.14883561643835624,0.14683561643835624,0.14383561643835624,0.13783561643835623,0.14691780821917816,0.14683561643835624,0.14672602739726034,0.14645205479452061
AI16Z-USD,2025-01-31,2025-02-01,0.6006850004196167,2025-02-02,0.5105822503566741,TP,1,0.15000000000000008,strict,4,S1,primary,0.14883561643835624,0.14683561643835624,0.14383561643835624,0.13783561643835623,0.14691780821917816,0.14683561643835624,0.14672602739726034,0.14645205479452061
VIRTUAL-USD,2025-01-31,2025-02-01,1.9660309553146362,2025-02-02,1.6711263120174407,TP,1,0.15000000000000008,strict,4,S1,primary,0.14883561643835624,0.14683561643835624,0.14383561643835624,0.13783561643835623,0.14691780821917816,0.14683561643835624,0.14672602739726034,0.14645205479452061
TNSR-USD,2025-03-31,2025-04-01,0.16381099820137024,2025-04-02,0.1392393484711647,TP,1,0.15,strict,4,S1,primary,0.14883561643835616,0.14683561643835616,0.14383561643835616,0.13783561643835615,0.14691780821917808,0.14683561643835616,0.14672602739726026,0.14645205479452053
PYTH-USD,2025-05-31,2025-06-01,0.1188030019402504,2025-06-10,0.13068330213427545,SL,9,-0.10000000000000014,strict,4,S1,primary,-0.10247945205479467,-0.10447945205479467,-0.10747945205479467,-0.11347945205479466,-0.10373972602739741,-0.10447945205479467,-0.10546575342465768,-0.10793150684931521
KMNO-USD,2025-05-31,2025-06-01,0.054416999220848083,2025-06-10,0.059858699142932896,SL,9,-0.10000000000000007,strict,4,S1,primary,-0.1024794520547946,-0.1044794520547946,-0.1074794520547946,-0.1134794520547946,-0.10373972602739734,-0.1044794520547946,-0.10546575342465761,-0.10793150684931514
ZEREBRO-USD,2025-05-31,2025-06-01,0.030469000339508057,2025-06-02,0.03351590037345886,SL,1,-0.1,strict,4,S1,primary,-0.10116438356164384,-0.10316438356164384,-0.10616438356164384,-0.11216438356164384,-0.10308219178082192,-0.10316438356164384,-0.10327397260273974,-0.10354794520547946
BOME-USD,2025-05-31,2025-06-01,0.0018400000408291817,2025-06-03,0.0020240000449121,SL,2,-0.1,strict,4,S1,primary,-0.10132876712328767,-0.10332876712328767,-0.10632876712328768,-0.11232876712328767,-0.10316438356164384,-0.10332876712328767,-0.10354794520547946,-0.10409589041095892
PNUT-USD,2025-05-31,2025-06-01,0.2611840069293976,2025-06-03,0.2873024076223374,SL,2,-0.10000000000000017,strict,4,S1,primary,-0.10132876712328784,-0.10332876712328784,-0.10632876712328784,-0.11232876712328783,-0.10316438356164401,-0.10332876712328784,-0.10354794520547962,-0.10409589041095908
PNUT-USD,2025-07-31,2025-08-01,0.23303599655628204,2025-08-09,0.25633959621191027,SL,8,-0.10000000000000009,strict,4,S1,primary,-0.10231506849315078,-0.10431506849315078,-0.10731506849315078,-0.11331506849315078,-0.10365753424657544,-0.10431506849315078,-0.1051917808219179,-0.10738356164383571
ZEREBRO-USD,2025-08-31,2025-09-01,0.020618999376893044,2025-09-09,0.02268089931458235,SL,8,-0.10000000000000013,strict,4,S1,primary,-0.10231506849315082,-0.10431506849315082,-0.10731506849315083,-0.11331506849315082,-0.10365753424657548,-0.10431506849315082,-0.10519178082191794,-0.10738356164383575
GOAT-USD,2025-09-30,2025-10-01,19.62846565246582,2025-10-02,16.684195804595948,TP,1,0.14999999999999997,strict,4,S1,primary,0.14883561643835613,0.14683561643835613,0.14383561643835613,0.13783561643835612,0.14691780821917805,0.14683561643835613,0.14672602739726023,0.1464520547945205
JTO-USD,2025-10-31,2025-11-01,0.9013829827308655,2025-11-04,0.7661755353212356,TP,3,0.15000000000000005,strict,4,S1,primary,0.14850684931506855,0.14650684931506855,0.14350684931506855,0.13750684931506854,0.1467534246575343,0.14650684931506855,0.14617808219178086,0.1453561643835617
FARTCOIN-USD,2025-10-31,2025-11-01,0.3193719983100891,2025-11-03,0.27146619856357573,TP,2,0.15000000000000002,strict,4,S1,primary,0.14867123287671236,0.14667123287671235,0.14367123287671235,0.13767123287671235,0.1468356164383562,0.14667123287671235,0.14645205479452056,0.14590410958904113
ACT-USD,2025-11-30,2025-12-01,0.0006709999870508909,2025-12-28,0.0007380999857559801,SL,27,-0.1000000000000001,strict,4,S1,primary,-0.10543835616438367,-0.10743835616438367,-0.11043835616438367,-0.11643835616438367,-0.10521917808219189,-0.10743835616438367,-0.1103972602739727,-0.11779452054794531
AI16Z-USD,2025-11-30,2025-12-01,0.010747999884188175,2025-12-02,0.011822799872606994,SL,1,-0.1000000000000001,strict,4,S1,primary,-0.10116438356164394,-0.10316438356164394,-0.10616438356164394,-0.11216438356164393,-0.10308219178082202,-0.10316438356164394,-0.10327397260273984,-0.10354794520547955
WIF-USD,2025-12-31,2026-01-01,0.2697089910507202,2026-01-02,0.29667989015579227,SL,1,-0.10000000000000012,strict,4,S1,primary,-0.10116438356164395,-0.10316438356164395,-0.10616438356164395,-0.11216438356164395,-0.10308219178082204,-0.10316438356164395,-0.10327397260273985,-0.10354794520547957
BONK-USD,2025-12-31,2026-01-01,7.000000096013537e-06,2026-01-02,7.70000010561489e-06,SL,1,-0.10000000000000005,strict,4,S1,primary,-0.10116438356164388,-0.10316438356164388,-0.10616438356164389,-0.11216438356164388,-0.10308219178082197,-0.10316438356164388,-0.10327397260273978,-0.1035479452054795
WIF-USD,2026-01-31,2026-02-01,0.2540769875049591,2026-02-05,0.21596543937921522,TP,4,0.15000000000000008,strict,4,S1,primary,0.14834246575342475,0.14634246575342474,0.14334246575342474,0.13734246575342474,0.1466712328767124,0.14634246575342474,0.14590410958904118,0.14480821917808226
BONK-USD,2026-01-31,2026-02-01,7.000000096013537e-06,2026-02-06,5.950000081611506e-06,TP,5,0.15000000000000008,strict,4,S1,primary,0.14817808219178089,0.14617808219178088,0.14317808219178088,0.13717808219178088,0.1465890410958905,0.14617808219178088,0.14563013698630145,0.14426027397260283
RENDER-USD,2026-01-31,2026-02-01,1.5496649742126465,2026-02-05,1.3172152280807494,TP,4,0.15000000000000005,strict,4,S1,primary,0.14834246575342472,0.14634246575342472,0.1433424657534247,0.1373424657534247,0.14667123287671238,0.14634246575342472,0.14590410958904115,0.14480821917808223
JUP-USD,2026-01-31,2026-02-01,0.0005179999861866236,2026-02-03,0.00044029998825863005,TP,2,0.14999999999999997,strict,4,S1,primary,0.1486712328767123,0.1466712328767123,0.1436712328767123,0.1376712328767123,0.14683561643835613,0.1466712328767123,0.1464520547945205,0.14590410958904107
FARTCOIN-USD,2026-01-31,2026-02-01,0.22710199654102325,2026-02-05,0.19303669705986976,TP,4,0.15000000000000005,strict,4,S1,primary,0.14834246575342472,0.14634246575342472,0.1433424657534247,0.1373424657534247,0.14667123287671238,0.14634246575342472,0.14590410958904115,0.14480821917808223
ZEREBRO-USD,2026-01-31,2026-02-01,0.008973999880254269,2026-02-02,0.009871399868279696,SL,1,-0.10000000000000003,strict,4,S1,primary,-0.10116438356164387,-0.10316438356164387,-0.10616438356164387,-0.11216438356164386,-0.10308219178082195,-0.10316438356164387,-0.10327397260273977,-0.10354794520547948
TNSR-USD,2026-01-31,2026-02-01,0.049566999077796936,2026-02-06,0.042131949216127396,TP,5,0.15,strict,4,S1,primary,0.1481780821917808,0.1461780821917808,0.1431780821917808,0.1371780821917808,0.1465890410958904,0.1461780821917808,0.14563013698630137,0.14426027397260274
AI16Z-USD,2026-01-31,2026-02-01,0.0007130000158213079,2026-02-02,0.0007843000174034388,SL,1,-0.10000000000000009,strict,4,S1,primary,-0.10116438356164392,-0.10316438356164392,-0.10616438356164393,-0.11216438356164392,-0.10308219178082201,-0.10316438356164392,-0.10327397260273982,-0.10354794520547954
GOAT-USD,2026-02-28,2026-03-01,6.432498931884766,2026-03-04,7.0757488250732425,SL,3,-0.10000000000000006,strict,4,S1,primary,-0.10149315068493157,-0.10349315068493158,-0.10649315068493158,-0.11249315068493157,-0.10324657534246581,-0.10349315068493158,-0.10382191780821924,-0.10464383561643842
