horizon,feature,discovery_status,mean_net_proxy,median_net_proxy,ci_lower_mean,win_rate,top1_share,top3_share,coverage,all_gates_pass
30m,buy_sell_ratio_h1,FAIL,0.008545,-0.004089,-0.017155,0.4619,0.0133,0.0399,0.7498,False
30m,buy_count_ratio_h1,FAIL,0.008545,-0.004089,-0.017155,0.4619,0.0133,0.0399,0.7498,False
5m,avg_trade_usd_m5,FAIL,0.008271,-0.005131,-0.005735,0.1182,0.0381,0.1143,0.6883,False
15m,txn_accel_m5_vs_h1,FAIL,0.00798,-0.005137,-0.011314,0.2569,0.019,0.0571,0.7498,False
30m,price_usd,FAIL,0.007528,-0.004619,-0.023315,0.4504,0.0096,0.0289,1.0,False
30m,buy_count_ratio_m5_snap,FAIL,0.007273,-0.005288,-0.020045,0.4324,0.0167,0.0501,0.9049,False
30m,jup_vs_cpamm_diff_pct,FAIL,0.006504,-0.001444,-0.017536,0.4892,0.0113,0.034,0.7735,False
5m,sells_m5,FAIL,0.006112,-0.005138,-0.010902,0.1322,0.0236,0.0707,0.7729,False
5m,txn_accel_m5_vs_h1,FAIL,0.005762,-0.005132,-0.007915,0.1422,0.0286,0.0858,0.7498,False
30m,vol_h24,FAIL,0.005758,-0.004243,-0.007334,0.3438,0.0147,0.0442,1.0,False
15m,range_5m,FAIL,0.005584,-0.005156,-0.012413,0.259,0.0142,0.0426,0.7706,False
4h,median_pool_rv5m,FAIL,0.00521,-0.009648,-0.042688,0.3757,0.0251,0.0754,0.9858,False
4h,liq_change_pct,FAIL,0.004789,-0.010883,-0.021984,0.4097,0.0072,0.0216,0.7706,False
1h,vol_h1,FAIL,0.003993,-0.005997,-0.02029,0.3673,0.0179,0.0538,1.0,False
15m,rv_5m,FAIL,0.003776,-0.005154,-0.01501,0.2635,0.0144,0.0433,0.7706,False
15m,buys_h1,FAIL,0.003639,-0.005163,-0.022484,0.2342,0.0154,0.0461,0.7729,False
30m,breadth_negative_pct,FAIL,0.003614,-0.003625,-0.014644,0.3931,0.0132,0.0397,0.9858,False
15m,avg_trade_usd_m5_snap,FAIL,0.003461,-0.005128,-0.010306,0.2237,0.0177,0.0531,0.9049,False
30m,pool_liquidity_median,FAIL,0.003349,-0.003826,-0.016639,0.4243,0.0114,0.0342,1.0,False
30m,liquidity_usd,FAIL,0.003277,-0.008158,-0.020062,0.4679,0.0128,0.0384,1.0,False
30m,impact_sell_pct,FAIL,0.003062,-0.008158,-0.019492,0.4684,0.0132,0.0395,1.0,False
30m,buy_sell_ratio_m5,FAIL,0.002914,-0.007982,-0.032441,0.4531,0.0189,0.0567,0.6883,False
30m,buy_count_ratio_m5,FAIL,0.002914,-0.007982,-0.032441,0.4531,0.0189,0.0567,0.6883,False
4h,buy_count_ratio_m5_snap,FAIL,0.002833,-0.003973,-0.039814,0.4708,0.0193,0.0578,0.9049,False
30m,median_pool_rv5m,FAIL,0.00281,-0.005265,-0.016862,0.3819,0.0116,0.0347,0.9858,False
30m,round_trip_pct,FAIL,0.002373,-0.009545,-0.021647,0.4649,0.0129,0.0388,1.0,False
30m,impact_buy_pct,FAIL,0.002373,-0.009545,-0.021647,0.4649,0.0129,0.0388,1.0,False
5m,range_5m,FAIL,0.002351,-0.005156,-0.011229,0.1363,0.0227,0.0681,0.7706,False
15m,avg_trade_usd_h1,FAIL,0.002277,-0.005192,-0.018775,0.2227,0.019,0.0571,0.7498,False
15m,buy_sell_ratio_m5,FAIL,0.002175,-0.005172,-0.019305,0.2557,0.0199,0.0598,0.6883,False
15m,buy_count_ratio_m5,FAIL,0.002175,-0.005172,-0.019305,0.2557,0.0199,0.0598,0.6883,False
5m,buys_m5,FAIL,0.002088,-0.005141,-0.015093,0.1228,0.0232,0.0696,0.7729,False
4h,breadth_negative_pct,FAIL,0.002077,-0.011692,-0.043055,0.3457,0.0231,0.0694,0.9858,False
30m,pool_size_total,FAIL,0.002067,-0.004388,-0.016304,0.3815,0.0122,0.0367,1.0,False
15m,sells_h1,FAIL,0.001703,-0.005156,-0.027553,0.236,0.015,0.0449,0.7729,False
30m,age_hours,FAIL,0.001627,-0.00655,-0.01866,0.4816,0.0082,0.0246,1.0,False
15m,pool_vol_h1_median,FAIL,0.001357,-0.005119,-0.011982,0.2263,0.0185,0.0556,1.0,False
30m,pool_size_with_micro,FAIL,0.001288,-0.004121,-0.015523,0.3835,0.0111,0.0333,1.0,False
5m,pool_liquidity_median,FAIL,0.001259,-0.005123,-0.00684,0.112,0.0247,0.0741,1.0,False
30m,sells_m5_snap,FAIL,0.00124,-0.005151,-0.021347,0.3985,0.0114,0.0342,1.0,False
4h,pool_liquidity_median,FAIL,0.001115,-0.009477,-0.044316,0.4263,0.0243,0.0729,1.0,False
30m,coverage_ratio_micro,FAIL,0.001021,-0.004848,-0.016065,0.3593,0.0118,0.0354,1.0,False
30m,vol_h1,FAIL,0.000992,-0.004838,-0.006702,0.2771,0.0218,0.0653,1.0,False
15m,jup_vs_cpamm_diff_pct,FAIL,0.000976,-0.005041,-0.005054,0.1373,0.0422,0.1265,0.7735,False
30m,buys_m5_snap,FAIL,0.000959,-0.004572,-0.00443,0.236,0.028,0.0839,1.0,False
30m,liq_change_pct,FAIL,0.000654,-0.005716,-0.040145,0.4638,0.0165,0.0496,0.7706,False
15m,buy_sell_ratio_h1,FAIL,0.000224,-0.005177,-0.015787,0.2106,0.0274,0.0823,0.7498,False
15m,buy_count_ratio_h1,FAIL,0.000224,-0.005177,-0.015787,0.2106,0.0274,0.0823,0.7498,False
30m,breadth_positive_pct,FAIL,0.000218,-0.003802,-0.016717,0.3842,0.0092,0.0276,0.9858,False
15m,coverage_ratio_micro,FAIL,-5.9e-05,-0.005187,-0.021997,0.2555,0.0211,0.0633,1.0,False
5m,pool_vol_h1_median,FAIL,-0.000142,-0.005127,-0.011798,0.1655,0.0196,0.0589,1.0,False
15m,liq_change_pct,FAIL,-0.000392,-0.005164,-0.026157,0.2119,0.0304,0.0913,0.7706,False
5m,buy_sell_ratio_h1,FAIL,-0.000782,-0.005167,-0.01345,0.0993,0.0377,0.113,0.7498,False
5m,buy_count_ratio_h1,FAIL,-0.000782,-0.005167,-0.01345,0.0993,0.0377,0.113,0.7498,False
15m,pool_size_total,FAIL,-0.000785,-0.005147,-0.013109,0.1897,0.018,0.054,1.0,False
5m,avg_trade_usd_h1,FAIL,-0.000881,-0.005118,-0.009915,0.1106,0.029,0.087,0.7498,False
15m,pool_liquidity_median,FAIL,-0.000934,-0.005157,-0.010646,0.1497,0.0228,0.0683,1.0,False
15m,vol_h24,FAIL,-0.001013,-0.005182,-0.0093,0.1699,0.0227,0.068,1.0,False
5m,avg_trade_usd_m5_snap,FAIL,-0.001187,-0.005123,-0.010601,0.1025,0.0312,0.0935,0.9049,False
5m,coverage_ratio_micro,FAIL,-0.001193,-0.005136,-0.005582,0.0927,0.0317,0.0952,1.0,False
15m,pool_dispersion_r_m5,FAIL,-0.001244,-0.005144,-0.013753,0.2116,0.0181,0.0544,0.9858,False
5m,price_usd,FAIL,-0.001348,-0.005095,-0.008187,0.1291,0.0174,0.0523,1.0,False
5m,median_pool_rv5m,FAIL,-0.001386,-0.005134,-0.00781,0.089,0.0344,0.1033,0.9858,False
5m,rv_1m,FAIL,-0.001408,-0.005181,-0.019482,0.114,0.0262,0.0786,0.7706,False
15m,vol_h1,FAIL,-0.001477,-0.00514,-0.012978,0.2162,0.0132,0.0397,1.0,False
5m,pool_size_total,FAIL,-0.001557,-0.005132,-0.012241,0.149,0.0202,0.0606,1.0,False
15m,price_usd,FAIL,-0.001715,-0.005097,-0.014469,0.2316,0.0123,0.0368,1.0,False
5m,jup_vs_cpamm_diff_pct,FAIL,-0.001798,-0.005018,-0.006956,0.1089,0.0501,0.1502,0.7735,False
5m,breadth_positive_pct,FAIL,-0.001919,-0.005144,-0.010463,0.1286,0.0247,0.0741,0.9858,False
30m,median_pool_r_m5,FAIL,-0.001948,-0.005326,-0.012892,0.3528,0.0042,0.0126,0.9858,False
15m,age_hours,FAIL,-0.002235,-0.005094,-0.012213,0.2404,0.0122,0.0367,1.0,False
15m,median_pool_r_m5,FAIL,-0.002272,-0.005132,-0.013934,0.2105,0.0162,0.0486,0.9858,False
30m,impact_asymmetry_pct,FAIL,-0.002322,-0.005083,-0.009341,0.3428,0.0029,0.0086,1.0,False
5m,age_hours,FAIL,-0.002493,-0.00517,-0.012437,0.1252,0.0218,0.0654,1.0,False
15m,breadth_positive_pct,FAIL,-0.002493,-0.005154,-0.015013,0.19,0.0195,0.0585,0.9858,False
5m,pool_dispersion_r_m5,FAIL,-0.00251,-0.005128,-0.011047,0.1382,0.0208,0.0625,0.9858,False
15m,median_pool_rv5m,FAIL,-0.002572,-0.005141,-0.015317,0.1917,0.0195,0.0584,0.9858,False
